case_id,local_alignment_overall,global_alignment_overall,n_alignment_rows,n_alignment_roles,n_alignment_seeds,model,alignment_group,alignment_bin_rule
C004,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C008,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C009,0.75,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C017,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C018,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C019,0.75,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C020,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C021,0.75,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C025,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C031,0.75,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C034,0.75,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C035,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C039,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C040,0.75,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D002,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D007,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D008,0.75,0.325,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D010,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D011,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D013,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D015,0.75,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D020,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D022,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D026,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D027,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D028,0.75,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D029,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D030,0.75,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D032,0.75,0.15,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D034,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D038,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D039,0.75,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E003,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E013,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E017,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E027,0.75,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E035,0.75,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A016,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A019,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A020,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A029,0.775,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A034,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A038,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B003,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B005,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B010,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B018,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B034,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B035,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B036,0.775,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
B039,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C005,0.775,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C011,0.775,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C013,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C023,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
C030,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D001,0.775,0.35,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D012,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D014,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D016,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D019,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D021,0.775,0.3,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D031,0.775,0.175,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D033,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D035,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D036,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
D040,0.775,0.2,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E004,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E012,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E015,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E020,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E026,0.775,0.275,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E028,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E039,0.775,0.25,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
E040,0.775,0.225,40,5,8,GPT-OSS,mid_alignment,tie_preserving_qcut_q3_duplicates_drop
A002,0.8,0.325,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
A006,0.8,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
A021,0.8,0.325,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
B011,0.8,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
B017,0.8,0.2,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
C003,0.8,0.15,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
C015,0.8,0.225,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
C016,0.8,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
C038,0.8,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E016,0.8,0.325,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E018,0.8,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E021,0.8,0.225,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E025,0.8,0.225,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E029,0.8,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E030,0.8,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E031,0.8,0.3,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E032,0.8,0.225,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
A007,0.825,0.225,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E001,0.825,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E006,0.825,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E007,0.825,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E014,0.825,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E022,0.825,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E023,0.825,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E024,0.825,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E034,0.825,0.3,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E038,0.825,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
B009,0.85,0.175,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E002,0.85,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E008,0.85,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E009,0.85,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E011,0.85,0.3,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E019,0.85,0.325,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E036,0.85,0.25,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E010,0.875,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
E037,0.875,0.275,40,5,8,GPT-OSS,high_alignment,tie_preserving_qcut_q3_duplicates_drop
A003,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A005,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A007,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A009,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A010,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A013,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A014,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A015,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A016,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A017,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A020,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A025,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A026,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A027,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A028,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A035,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A038,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
A040,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B004,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B005,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B009,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B014,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B018,0.8,0.4,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B019,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B020,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B033,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B035,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
B037,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C004,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C005,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C006,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C017,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C019,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C020,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C025,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C027,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C030,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C033,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
C039,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D003,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D005,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D006,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D007,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D008,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D013,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D014,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D016,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D017,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D018,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D019,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D020,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D026,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D034,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D038,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
D039,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E004,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E006,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
E008,0.8,0.6,5,5,1,Qwen,low_alignment,two_unique_values_tie_preserving_perfect_vs_imperfect_when_applicable
